Price,Area,Location,BHK,Resale,SwimmingPool,LandscapedGardens,ClubHouse,CarParking,LiftAvailable,price_per_sq_ft
6200000,400,Airoli,1,True,False,False,False,True,True,15500.0
14900000,1245,Airoli,2,False,False,False,False,True,True,11967.871485943775
14000000,1183,Airoli,2,False,True,True,True,True,True,11834.31952662722
6400000,495,Airoli,1,True,True,True,True,True,True,12929.29292929293
3800000,495,Airoli,1,True,True,True,True,True,True,7676.767676767677
15500000,1050,Airoli,2,True,True,True,True,True,True,14761.904761904761
7000000,600,Airoli,1,True,True,True,True,True,True,11666.666666666666
6694000,600,Airoli,1,True,True,True,True,True,True,11156.666666666666
7600000,650,Airoli,1,True,True,True,True,True,True,11692.307692307691
7731000,650,Airoli,1,True,True,True,True,True,True,11893.846153846154
9500000,650,Airoli,1,True,True,True,True,True,True,14615.384615384615
6600000,780,Airoli,1,True,True,True,True,True,True,8461.538461538461
7800000,640,Airoli,1,True,True,True,True,True,True,12187.5
7800000,660,Airoli,1,True,True,True,True,True,True,11818.181818181818
5900000,660,Airoli,1,True,True,True,True,True,True,8939.39393939394
5900000,666,Airoli,1,True,True,True,True,True,True,8858.85885885886
7500000,666,Airoli,1,True,True,True,True,True,True,11261.261261261261
7000000,1050,Airoli,1,True,True,True,True,True,True,6666.666666666667
7000000,700,Airoli,1,True,True,True,True,True,True,10000.0
7000000,680,Airoli,1,True,True,True,True,True,True,10294.117647058823
9000000,650,Airoli,1,True,True,True,True,True,True,13846.153846153846
8700000,600,Airoli,1,True,True,True,True,True,True,14500.0
3874000,730,Ambernath East,1,False,False,False,False,True,True,5306.8493150684935
2300000,690,Ambernath East,1,True,True,True,True,True,True,3333.3333333333335
5800000,466,Ambernath East,1,True,True,True,True,True,True,12446.351931330471
2565000,595,Ambernath East,1,False,True,True,True,True,True,4310.924369747899
14500000,1010,Ambernath East,2,False,True,True,True,True,True,14356.435643564357
3300000,690,Ambernath East,1,False,True,True,True,True,True,4782.608695652174
13899999,900,Ambernath East,2,True,True,True,True,True,True,15444.443333333333
3800000,625,Ambernath East,1,False,True,True,True,True,True,6080.0
4600000,725,Ambernath East,1,False,True,True,True,True,True,6344.827586206897
8600000,827,Ambernath East,1,False,True,True,True,True,True,10399.032648125756
2400000,690,Ambernath West,1,False,True,True,False,True,True,3478.2608695652175
2374000,634,Ambernath West,1,False,False,True,True,True,True,3744.4794952681386
2374000,634,Ambernath West,1,False,False,True,True,True,True,3744.4794952681386
11000000,728,Ambernath West,1,False,True,True,True,True,True,15109.89010989011
3100000,550,Ambernath West,1,False,True,True,True,True,True,5636.363636363636
2576000,630,Ambernath West,1,False,True,True,True,True,True,4088.8888888888887
2520000,644,Ambernath West,1,False,True,True,True,True,True,3913.0434782608695
2520000,709,Ambernath West,1,False,True,True,True,True,True,3554.301833568406
2576000,630,Ambernath West,1,False,True,True,True,True,True,4088.8888888888887
3064000,644,Ambernath West,1,False,True,True,True,True,True,4757.76397515528
3188000,630,Ambernath West,1,False,True,True,True,True,True,5060.31746031746
19000000,630,Ambernath West,1,False,True,True,True,True,True,30158.73015873016
19000000,644,Ambernath West,1,False,True,True,True,True,True,29503.10559006211
4800000,766,Ambernath West,1,False,True,True,True,True,True,6266.318537859008
